"Avec les ptits futés !","Découvres les fruits et légumes en t'amusant !","","",""
"Quel fruit jaune, a une peau épaisse parfois tachetée ?","La banane","L'orange","La framboises","La banane est riche en potassium, ce qui est bon pour le cœur."
"Quel légume vert, se mange souvent en salade ?","La laitue","Le radis","Le concombre","La laitue est majoritairement composée d'eau, ce qui la rend rafraîchissante."
"Quel fruit rouge, possède des graines sur sa peau, appelé akènes ?","La fraises","La prune","La framboises","La fraises est pleine de vitamine C, qui aide à protéger le corps."
"Quel légume violet, est sucré quand il est cuit ?","L'aubergine","Le concombre","Le pamplemousse","L'aubergine, bien que souvent considérée comme un légume, est botaniquement une baie."
"Quel fruit, est souvent confondu avec un légume, et, est utilisé dans la sauce à pizza ?","La tomate","La fraises","La pomme","La tomate est techniquement un fruit et est très utilisée dans les cuisines du monde entier."
"Quel légume long, et vert, est souvent mangé cru ?","Le concombre","L'aubergine","La courgette","Le concombre est composé de 95% d'eau, ce qui en fait un aliment hydratant."
"Quel fruit est petit, rond, de couleur violet, ou vert ?","Le raisin","Le citron","La poire","Le raisin est souvent utilisé pour faire du vin."
"Quel fruit croquant, peut être rouge, jaune, ou vert ?","La pomme","La banane","La mangue","La pomme est consommée partout dans le monde et peut être utilisée dans diverses recettes."
"Quel fruit rond, et rouge, est souvent mis dans les salades ?","La tomate","Le radis","L'aubergine","La tomate est un fruit, et est pleine de vitamine C."
"Quel fruit tropical, est jaune et courbes ?","La banane","L'orange","La mangue","La banane est l'un des fruits les plus consommés mondialement et est bonne pour l'énergie."
"Quel légume est long, orange, et pousse dans la terre ?","La carotte","La pomme de terre","L'orange","La carotte est riche en vitamine A, qui aide à améliorer la vision."
"Quel gros fruit, est vert à l'extérieur, et rouge à l'intérieur ?","La pastèque","Le citron","Le pamplemousse","La pastèque est très hydratante car elle contient beaucoup d'eau."
"Quel légume vert, ressemble à un mini arbre ?","Le brocoli","La courgette","La citrouilles","Le brocoli est un super aliment, très bon pour la santé avec ses riches nutriments."
"Quel fruit est rond, orange, et a une peau épaisse ?","L'orange","Le citron","La pomme","L'orange est célèbre pour son jus vitaminé, consommé au petit déjeuner dans de nombreux pays."
"Quel légume est un bulbes blanc, avec de longues tiges vertes ?","Le poireau","La tomate","Le radis","Le poireau est souvent utilisé dans les soupes et les ragoûts, surtout en France."
